user_id;Predicted_Condition
1;no_disorder
2;no_disorder
3;no_disorder
4;depression
5;no_disorder
6;depression
7;no_disorder
8;no_disorder
9;no_disorder
10;no_disorder
11;no_disorder
12;no_disorder
13;depression
14;no_disorder
15;no_disorder
16;depression
17;no_disorder
18;anxiety
19;no_disorder
20;no_disorder
21;no_disorder
22;no_disorder
23;no_disorder
24;no_disorder
25;no_disorder
26;no_disorder
27;no_disorder
28;no_disorder
29;no_disorder
30;no_disorder
31;anxiety
32;no_disorder
33;no_disorder
34;anxiety
35;no_disorder
36;no_disorder
37;no_disorder
38;no_disorder
39;no_disorder
40;no_disorder
41;no_disorder
42;no_disorder
43;no_disorder
44;no_disorder
45;no_disorder
46;no_disorder
47;anxiety
48;no_disorder
49;no_disorder
50;no_disorder
51;no_disorder
52;no_disorder
53;no_disorder
54;anxiety
55;no_disorder
56;no_disorder
57;no_disorder
58;no_disorder
59;no_disorder
60;no_disorder
61;no_disorder
62;no_disorder
63;no_disorder
64;no_disorder
65;no_disorder
66;no_disorder
67;no_disorder
68;no_disorder
69;no_disorder
70;no_disorder
71;no_disorder
72;no_disorder
73;no_disorder
74;no_disorder
75;no_disorder
76;no_disorder
77;no_disorder
78;no_disorder
79;no_disorder
80;no_disorder
81;no_disorder
82;no_disorder
83;no_disorder
84;no_disorder
85;no_disorder
86;no_disorder
87;no_disorder
88;no_disorder
89;no_disorder
90;no_disorder
91;no_disorder
92;no_disorder
93;no_disorder
94;no_disorder
95;depression
96;no_disorder
97;anxiety
98;no_disorder
